datetime,power,load,spot,hour,dayofyear,dayofweek,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2021-01-01 00:00:00,0.0,2.61,26.55,0,1,4,24.06999969482422,24.950000762939453,24.350000381469727,23.979999542236328,23.71999931335449,23.729999542236328,24.059999465942383,24.440000534057617,24.93000030517578,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55
2021-01-01 01:00:00,0.0,2.21,24.07,1,1,4,24.950000762939453,24.350000381469727,23.979999542236328,23.71999931335449,23.729999542236328,24.059999465942383,24.440000534057617,24.93000030517578,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07
2021-01-01 02:00:00,0.0,2.21,24.95,2,1,4,24.350000381469727,23.979999542236328,23.71999931335449,23.729999542236328,24.059999465942383,24.440000534057617,24.93000030517578,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95
2021-01-01 03:00:00,0.0,2.45,24.35,3,1,4,23.979999542236328,23.71999931335449,23.729999542236328,24.059999465942383,24.440000534057617,24.93000030517578,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35
2021-01-01 04:00:00,0.0,2.45,23.98,4,1,4,23.71999931335449,23.729999542236328,24.059999465942383,24.440000534057617,24.93000030517578,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98
2021-01-01 05:00:00,0.0,2.02,23.72,5,1,4,23.729999542236328,24.059999465942383,24.440000534057617,24.93000030517578,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98,23.72
2021-01-01 06:00:00,0.0,2.24,23.73,6,1,4,24.059999465942383,24.440000534057617,24.93000030517578,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98,23.72,23.73
2021-01-01 07:00:00,0.0,1.56,24.06,7,1,4,24.440000534057617,24.93000030517578,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98,23.72,23.73,24.06
2021-01-01 08:00:00,0.0,1.31,24.44,8,1,4,24.93000030517578,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98,23.72,23.73,24.06,24.44
2021-01-01 09:00:00,0.0,1.64,24.93,9,1,4,24.899999618530277,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98,23.72,23.73,24.06,24.44,24.93
2021-01-01 10:00:00,0.0,1.4,24.9,10,1,4,25.06999969482422,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98,23.72,23.73,24.06,24.44,24.93,24.9
2021-01-01 11:00:00,0.0,1.67,25.07,11,1,4,25.6299991607666,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98,23.72,23.73,24.06,24.44,24.93,24.9,25.07
2021-01-01 12:00:00,0.0,2.08,25.63,12,1,4,25.920000076293945,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98,23.72,23.73,24.06,24.44,24.93,24.9,25.07,25.63
2021-01-01 13:00:00,0.0280495259259259,2.73,25.92,13,1,4,26.1299991607666,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,26.55,24.07,24.95,24.35,23.98,23.72,23.73,24.06,24.44,24.93,24.9,25.07,25.63,25.92
2021-01-01 14:00:00,0.0092509259259259,3.6,26.13,14,1,4,26.56999969482422,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334
2021-01-01 15:00:00,0.0026041266666666,2.33,26.57,15,1,4,27.299999237060547,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449
2021-01-01 16:00:00,0.0,2.19,27.3,16,1,4,28.61000061035156,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633
2021-01-01 17:00:00,0.0,2.25,28.61,17,1,4,30.25,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055
2021-01-01 18:00:00,0.0,2.24,30.25,18,1,4,30.190000534057617,28.81999969482422,28.25,27.31999969482422,28.25,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234
2021-01-01 19:00:00,0.0,3.52,30.19,19,1,4,28.81999969482422,28.25,27.31999969482422,28.25,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332
2021-01-01 20:00:00,0.0,7.71,28.82,20,1,4,28.25,27.31999969482422,28.25,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789
2021-01-01 21:00:00,0.0,2.81,28.25,21,1,4,27.31999969482422,28.25,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906
2021-01-01 22:00:00,0.0,2.88,27.32,22,1,4,28.25,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666
2021-01-01 23:00:00,0.0,2.9,28.25,23,1,4,27.01000022888184,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277
2021-01-02 00:00:00,0.0,2.05,27.01,0,2,5,25.63999938964844,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01
2021-01-02 01:00:00,0.0,2.04,25.64,1,2,5,25.59000015258789,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64
2021-01-02 02:00:00,0.0,2.0,25.59,2,2,5,24.90999984741211,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59
2021-01-02 03:00:00,0.0,1.67,24.91,3,2,5,24.739999771118164,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91
2021-01-02 04:00:00,0.0,1.72,24.74,4,2,5,24.65999984741211,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74
2021-01-02 05:00:00,0.0,1.86,24.66,5,2,5,24.71999931335449,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74,24.66
2021-01-02 06:00:00,0.0,2.42,24.72,6,2,5,24.920000076293945,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74,24.66,24.72
2021-01-02 07:00:00,0.0,2.37,24.92,7,2,5,25.6200008392334,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74,24.66,24.72,24.92
2021-01-02 08:00:00,0.0,1.92,25.62,8,2,5,26.190000534057617,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74,24.66,24.72,24.92,25.62
2021-01-02 09:00:00,0.0,1.94,26.19,9,2,5,28.020000457763672,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74,24.66,24.72,24.92,25.62,26.19
2021-01-02 10:00:00,0.0,2.13,28.02,10,2,5,27.649999618530277,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74,24.66,24.72,24.92,25.62,26.19,28.02
2021-01-02 11:00:00,0.0,2.16,27.65,11,2,5,28.82999992370605,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74,24.66,24.72,24.92,25.62,26.19,28.02,27.65
2021-01-02 12:00:00,0.0395246259259259,2.16,28.83,12,2,5,29.76000022888184,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74,24.66,24.72,24.92,25.62,26.19,28.02,27.65,28.83
2021-01-02 13:00:00,0.0675581288888888,3.23,29.76,13,2,5,28.6200008392334,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.01,25.64,25.59,24.91,24.74,24.66,24.72,24.92,25.62,26.19,28.02,27.65,28.83,29.76
2021-01-02 14:00:00,0.0382689429629629,3.56,28.62,14,2,5,28.71999931335449,36.72999954223633,46.04999923706055,58.880001068115234,60.5099983215332,59.84000015258789,40.150001525878906,27.3799991607666,31.149999618530277,27.90999984741211,25.940000534057617,25.270000457763672,24.59000015258789,23.86000061035156,23.56999969482422,23.489999771118164,23.850000381469727,24.049999237060547,24.799999237060547,24.96999931335449,25.649999618530277,26.0,26.06999969482422,25.8700008392334
