pv_to_house,pv_to_bat,bat_to_house,grid_to_house,pv_to_grid,pv_to_bat_grid_wasted,to_house_wasted,soc,cost,profit,delta_SOH_opt,spot,datetime,power,load,battery_capacity,deltaSOH_cyclic,deltaSOH_float,battery_deltaSOH,battery_usage_cost,aging_factor_cyclic,aging_factor_float,battery_aging_factor
0.0,0.0,0.0,5.639999999999997,0.0,0.0,0.0,0.0,1.6055139839999992,0.0,3.851548966838226e-06,18.594,2022-01-08 00:00:00,0.0,5.64,13.140399093487089,0.0,3.851548966838226e-06,3.851548966838226e-06,0.03466394070154403,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.7778959919999999,0.0,3.851545918741471e-06,14.475999999999999,2022-01-08 01:00:00,0.0,3.63,13.140388694304878,0.0,3.851545918741471e-06,3.851545918741471e-06,0.03466391326867324,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.547301664,0.0,3.851542870644717e-06,16.071,2022-01-08 02:00:00,0.0,4.03,13.140378295130898,0.0,3.851542870644717e-06,3.851542870644717e-06,0.034663885835802453,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,2.5599999999999943,0.0,0.0,0.0,0.0,0.6022123519999986,0.0,3.851539822547962e-06,14.608,2022-01-08 03:00:00,0.0,3.51,13.140367895965147,0.0,3.851539822547962e-06,3.851539822547962e-06,0.03466385840293166,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.7026953359999999,0.0,3.851536774451208e-06,14.463999999999999,2022-01-08 04:00:00,0.0,3.2,13.140357496807626,0.0,3.851536774451208e-06,3.851536774451208e-06,0.03466383097006087,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.64734144,0.0,3.851533726354454e-06,14.690000000000001,2022-01-08 05:00:00,0.0,4.18,13.140347097658335,0.0,3.851533726354454e-06,3.851533726354454e-06,0.034663803537190084,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,2.1699999999999946,0.0,0.0,0.0,0.0,0.5212053559999986,0.0,3.851530678257699e-06,15.007,2022-01-08 06:00:00,0.0,4.22,13.140336698517274,0.0,3.851530678257699e-06,3.851530678257699e-06,0.03466377610431929,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,2.679999999999995,0.0,0.0,0.0,0.0,0.6577577599999986,0.0,3.851527630160945e-06,15.430000000000001,2022-01-08 07:00:00,0.0,3.51,13.140326299384443,0.0,3.851527630160945e-06,3.851527630160945e-06,0.0346637486714485,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,3.8199999999999945,0.0,0.0,0.0,0.0,0.9929707999999985,0.0,3.8515245827221e-06,16.6,2022-01-08 08:00:00,0.0,4.0,13.140315900259841,0.0,3.8515245827221e-06,3.8515245827221e-06,0.034663721244498895,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,2.9599999999999973,0.0,0.0,0.0,0.0,0.8314888639999992,0.0,3.851521534625346e-06,18.291,2022-01-08 09:00:00,0.0,4.31,13.140305501143468,0.0,3.851521534625346e-06,3.851521534625346e-06,0.034663693811628114,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.7247265479999999,0.0,3.851518486528591e-06,18.203,2022-01-08 10:00:00,0.0,3.96,13.140295102035324,0.0,3.851518486528591e-06,3.851518486528591e-06,0.03466366637875732,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,3.4599999999999973,0.0,0.0,0.0,0.0,0.9638342079999991,0.0,3.851515438431837e-06,18.102,2022-01-08 11:00:00,0.0,3.76,13.14028470293541,0.0,3.851515438431837e-06,3.851515438431837e-06,0.03466363894588653,0.0,3.956950674151102e-06,3.956950674151102e-06
0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.858436704,0.0,3.851512390335082e-06,17.003999999999998,2022-01-08 12:00:00,0.0,4.18,13.140274303843727,0.0,3.851512390335082e-06,3.851512390335082e-06,0.03466361151301574,0.0,3.956950674151102e-06,3.956950674151102e-06
