pv_to_house,pv_to_bat,bat_to_house,grid_to_house,pv_to_grid,pv_to_bat_grid_wasted,to_house_wasted,power,load,soc,cost,profit,spot,datetime,battery_capacity,deltaSOH_cyclic,deltaSOH_float,battery_deltaSOH,battery_usage_cost,aging_factor_cyclic,aging_factor_float,battery_aging_factor
0.0,0.0,0.0,1.9299999475479126,0.0,0.0,0.0,0.0,1.93,0.0,0.18603887094397542,0.0,2.693,2020-01-08 00:00:00,13.499989539384842,0.0,3.956947239203146e-06,3.956947239203146e-06,0.035612523555755615,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.850000023841858,0.0,0.0,0.0,0.0,1.85,0.0,0.1720877422177792,0.0,2.4210000000000003,2020-01-08 01:00:00,13.49997907877779,0.0,3.9569440559716895e-06,3.9569440559716895e-06,0.035612497478723526,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.9199999570846558,0.0,0.0,0.0,0.0,1.92,0.0,0.16607615628790856,0.0,1.895,2020-01-08 02:00:00,13.499968618178842,0.0,3.956941327487584e-06,3.956941327487584e-06,0.03561247140169144,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.4800000190734863,0.0,0.0,0.0,0.0,1.48,0.0,0.10234259331893922,0.0,0.496,2020-01-08 03:00:00,13.499958157588,0.0,3.956938144256128e-06,3.956938144256128e-06,0.03561244159936905,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.6200000047683716,0.0,0.0,0.0,0.0,1.62,0.0,0.1022608803009987,-0.0,0.01,2020-01-08 04:00:00,13.499947697005265,0.0,3.956934961024672e-06,3.956934961024672e-06,0.03561241552233696,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.5800000429153442,0.0,0.0,0.0,0.0,1.58,0.0,0.09975551470952033,-0.0,0.011,2020-01-08 05:00:00,13.499937236430634,0.0,3.9569322325405665e-06,3.9569322325405665e-06,0.03561238944530487,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.6100000143051147,0.0,0.0,0.0,0.0,1.61,0.0,0.10492370093226434,-0.0,0.175,2020-01-08 06:00:00,13.49992677586411,0.0,3.95692904930911e-06,3.95692904930911e-06,0.03561235964298248,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.7000000476837158,0.0,0.0,0.0,0.0,1.7,0.0,0.15081992423038482,0.0,2.074,2020-01-08 07:00:00,13.49991631530569,0.0,3.956925866077654e-06,3.956925866077654e-06,0.035612333565950394,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.7200000286102295,0.0,0.0,0.0,0.0,1.72,0.0,0.1628956987095833,0.0,2.557,2020-01-08 08:00:00,13.499905854755376,0.0,3.956922682846198e-06,3.956922682846198e-06,0.035612303763628006,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.7300000190734863,0.0,0.0,0.0,0.0,1.73,0.0,0.16688894983997346,0.0,2.699,2020-01-08 09:00:00,13.499895394213167,0.0,3.956919499614742e-06,3.956919499614742e-06,0.03561227396130562,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.0199999809265137,0.0,0.0,0.0,0.0,2.02,0.0,0.19574123015174866,0.0,2.734,2020-01-08 10:00:00,13.499884933679065,0.0,3.956916771130636e-06,3.956916771130636e-06,0.03561225160956383,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.430000066757202,0.0,0.0,0.0,0.0,2.43,0.0,0.2351695744606018,0.0,2.7239999999999998,2020-01-08 11:00:00,13.499874473153067,0.0,3.956913133151829e-06,3.956913133151829e-06,0.03561221808195114,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.5999999046325684,0.0,0.0,0.0,0.0,2.6,0.0,0.2516539907693863,0.0,2.725,2020-01-08 12:00:00,13.499864012635175,0.0,3.956910404667724e-06,3.956910404667724e-06,0.03561219200491905,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.3499999046325684,0.0,0.0,0.0,0.0,2.35,0.0,0.2275147707670212,0.0,2.727,2020-01-08 13:00:00,13.499853552125389,0.0,3.956907676183619e-06,3.956907676183619e-06,0.03561216965317726,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.369999885559082,0.0,0.0,0.0,0.0,2.37,0.0,0.2295098409175873,0.0,2.729,2020-01-08 14:00:00,13.499843091623708,0.0,3.9569040382048115e-06,3.9569040382048115e-06,0.035612136125564575,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.109999895095825,0.0,0.0,0.0,0.0,2.11,0.0,0.20456702182941433,0.0,2.738,2020-01-08 15:00:00,13.499832631130133,0.0,3.956901309720706e-06,3.956901309720706e-06,0.035612110048532486,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.359999895095825,0.0,0.0,0.0,0.0,2.36,0.0,0.22959494979429246,0.0,2.7649999999999997,2020-01-08 16:00:00,13.499822170644663,0.0,3.956898581236601e-06,3.956898581236601e-06,0.035612087696790695,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.0399999618530273,0.0,0.0,0.0,0.0,2.04,0.0,0.20046182025146486,0.0,2.8440000000000003,2020-01-08 17:00:00,13.499811710167299,0.0,3.956895398005145e-06,3.956895398005145e-06,0.03561205789446831,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.0899999141693115,0.0,0.0,0.0,0.0,2.09,0.0,0.20651539951896666,0.0,2.888,2020-01-08 18:00:00,13.499801249698038,0.0,3.9568922147736885e-06,3.9568922147736885e-06,0.03561202809214592,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.29695440000000006,0.0,2.902,2020-01-08 19:00:00,13.499790789236883,0.0,3.956889031542232e-06,3.956889031542232e-06,0.03561200201511383,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,7.269999980926514,0.0,0.0,0.0,0.0,7.27,0.0,0.7189884581136704,0.0,2.895,2020-01-08 20:00:00,13.499780328783833,0.0,3.956886303058127e-06,3.956886303058127e-06,0.03561197593808174,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.680000066757202,0.0,0.0,0.0,0.0,2.68,0.0,0.26428231058311463,0.0,2.872,2020-01-08 21:00:00,13.49976986833889,0.0,3.956883119826671e-06,3.956883119826671e-06,0.03561194986104965,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.7699999809265137,0.0,0.0,0.0,0.0,2.77,0.0,0.26838308215198514,0.0,2.7329999999999997,2020-01-08 22:00:00,13.49975940790205,0.0,3.9568799365952145e-06,3.9568799365952145e-06,0.035611920058727264,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.190000057220459,0.0,0.0,0.0,0.0,2.19,0.0,0.2114541415248871,0.0,2.706,2020-01-08 23:00:00,13.499748947473318,0.0,3.956876753363758e-06,3.956876753363758e-06,0.03561189025640488,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.049999952316284,0.0,0.0,0.0,0.0,2.05,0.0,0.1959283354426384,0.0,2.627,2020-01-09 00:00:00,13.49973848705269,0.0,3.956874024879653e-06,3.956874024879653e-06,0.035611867904663086,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.649999976158142,0.0,0.0,0.0,0.0,1.65,0.0,0.15364733777985573,0.0,2.429,2020-01-09 01:00:00,13.499728026640168,0.0,3.956870841648197e-06,3.956870841648197e-06,0.0356118381023407,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.5399999618530273,0.0,0.0,0.0,0.0,1.54,0.0,0.1379236285835266,0.0,2.1420000000000003,2020-01-09 02:00:00,13.499717566235752,0.0,3.956867658416741e-06,3.956867658416741e-06,0.03561180830001831,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.5399999618530273,0.0,0.0,0.0,0.0,1.54,0.0,0.13628137262420656,0.0,2.056,2020-01-09 03:00:00,13.499707105839441,0.0,3.956864929932635e-06,3.956864929932635e-06,0.03561178594827652,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.6200000047683716,0.0,0.0,0.0,0.0,1.62,0.0,0.14219582441854478,0.0,1.998,2020-01-09 04:00:00,13.499696645451236,0.0,3.956861746701179e-06,3.956861746701179e-06,0.03561175614595413,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.6699999570846558,0.0,0.0,0.0,0.0,1.67,0.0,0.14886246017456053,0.0,2.1079999999999997,2020-01-09 05:00:00,13.499686185071136,0.0,3.956858563469723e-06,3.956858563469723e-06,0.035611726343631744,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.7000000476837158,0.0,0.0,0.0,0.0,1.7,0.0,0.15627964438352587,0.0,2.3329999999999997,2020-01-09 06:00:00,13.49967572469914,0.0,3.956855380238267e-06,3.956855380238267e-06,0.035611700266599655,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.7899999618530273,0.0,0.0,0.0,0.0,1.79,0.0,0.1710123003555298,0.0,2.6239999999999997,2020-01-09 07:00:00,13.499665264335249,0.0,3.9568521970068105e-06,3.9568521970068105e-06,0.03561167046427727,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.7400000095367432,0.0,0.0,0.0,0.0,1.74,0.0,0.16701216091537474,0.0,2.66,2020-01-09 08:00:00,13.499654803979464,0.0,3.956849468522705e-06,3.956849468522705e-06,0.03561164438724518,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.840000033378601,0.0,0.0,0.0,0.0,1.84,0.0,0.17912032324934007,0.0,2.77,2020-01-09 09:00:00,13.499644343631784,0.0,3.956845830543898e-06,3.956845830543898e-06,0.03561161085963249,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.8300000429153442,0.0,0.0,0.0,0.0,1.83,0.0,0.17939490420699122,0.0,2.825,2020-01-09 10:00:00,13.49963388329221,0.0,3.956843102059793e-06,3.956843102059793e-06,0.0356115885078907,0.0,3.956950422434602e-06,3.956950422434602e-06
0.06406081467866898,0.0,0.0,1.975939154624939,0.0,0.0,0.0,0.0640608118518518,2.04,0.0,0.19384832520098688,0.0,2.831,2020-01-09 11:00:00,13.499623422960742,0.0,3.956840373575687e-06,3.956840373575687e-06,0.03561156243085861,0.0,3.956950422434602e-06,3.956950422434602e-06
0.3417130410671234,0.0,0.0,2.1882870197296143,0.0,0.0,0.0,0.341713037037037,2.53,0.0,0.2149247979297638,0.0,2.84,2020-01-09 12:00:00,13.499612962637379,0.0,3.95683673559688e-06,3.95683673559688e-06,0.035611528903245926,0.0,3.956950422434602e-06,3.956950422434602e-06
0.5541488528251648,0.0,0.0,1.5658509731292725,0.0,0.0,0.0,0.5541488570370371,2.12,0.0,0.15373336952066421,0.0,2.837,2020-01-09 13:00:00,13.499602502322121,0.0,3.956833552365424e-06,3.956833552365424e-06,0.03561150282621384,0.0,3.956950422434602e-06,3.956950422434602e-06
0.3838769197463989,0.0,0.0,2.1961231231689453,0.0,0.0,0.0,0.3838769251851852,2.58,0.0,0.21539487747116087,0.0,2.8289999999999997,2020-01-09 14:00:00,13.499592042014969,0.0,3.956830823881319e-06,3.956830823881319e-06,0.03561147674918175,0.0,3.956950422434602e-06,3.956950422434602e-06
0.08569813519716263,0.0,0.0,2.09430193901062,0.0,0.0,0.0,0.0856981348148148,2.18,0.0,0.2056160512097359,0.0,2.837,2020-01-09 15:00:00,13.49958158171592,0.0,3.956827640649863e-06,3.956827640649863e-06,0.03561144694685936,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0026319334283471107,0.0,0.0,2.2773680686950684,0.0,0.0,0.0,0.0026319333333333,2.28,0.0,0.23073382324790956,0.0,3.09,2020-01-09 16:00:00,13.499571121424978,0.0,3.956824457418406e-06,3.956824457418406e-06,0.03561142086982727,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.299999952316284,0.0,0.0,0.0,0.0,2.3,0.0,0.23359719515705113,0.0,3.1100000000000003,2020-01-09 17:00:00,13.49956066114214,0.0,3.956821728934301e-06,3.956821728934301e-06,0.03561139479279518,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,3.25,0.0,0.33608770000000004,0.0,3.2590000000000003,2020-01-09 18:00:00,13.499550200867409,0.0,3.956818545702845e-06,3.956818545702845e-06,0.03561136871576309,0.0,3.956950422434602e-06,3.956950422434602e-06
