pv_to_house,pv_to_bat,bat_to_house,grid_to_house,pv_to_grid,pv_to_bat_grid_wasted,to_house_wasted,power,load,soc,cost,profit,spot,datetime,battery_capacity,deltaSOH_cyclic,deltaSOH_float,battery_deltaSOH,battery_usage_cost,aging_factor_cyclic,aging_factor_float,battery_aging_factor
0.0,0.0,0.0,0.8799999952316284,0.0,0.0,0.0,0.0,0.88,0.0,0.2505057266426087,0.0,18.594,2022-01-08 00:00:00,13.321652933959815,0.0,3.90467585020815e-06,3.90467585020815e-06,0.03514208272099495,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,10.890000343322754,0.0,0.0,0.0,0.0,10.89,0.0,2.543930216201019,0.0,14.475999999999999,2022-01-08 01:00:00,13.321642611538731,0.0,3.904672666976694e-06,3.904672666976694e-06,0.03514205291867256,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,12.390000343322754,0.0,0.0,0.0,0.0,12.39,0.0,3.1393832429912565,0.0,16.071,2022-01-08 02:00:00,13.321632289125647,0.0,3.904669483745238e-06,3.904669483745238e-06,0.03514202684164047,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,10.890000343322754,0.0,0.0,0.0,0.0,10.89,0.0,2.5617549687629695,0.0,14.608,2022-01-08 03:00:00,13.321621966720562,0.0,3.904666300513782e-06,3.904666300513782e-06,0.035141997039318085,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.699999988079071,0.0,0.0,0.0,0.0,0.7,0.0,0.16341751721701622,0.0,14.463999999999999,2022-01-08 04:00:00,13.321611644323475,0.0,3.904663572029676e-06,3.904663572029676e-06,0.035141970962285995,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.7099999785423279,0.0,0.0,0.0,0.0,0.71,0.0,0.16774175493049623,0.0,14.690000000000001,2022-01-08 05:00:00,13.321601321934386,0.0,3.90466038879822e-06,3.90466038879822e-06,0.035141944885253906,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.1801401,0.0,15.007,2022-01-08 06:00:00,13.321590999553296,0.0,3.904657205566764e-06,3.904657205566764e-06,0.03514191508293152,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,8.350000381469727,0.0,0.0,0.0,0.0,8.35,0.0,2.049357293624878,0.0,15.430000000000001,2022-01-08 07:00:00,13.321580677180204,0.0,3.9046544770826586e-06,3.9046544770826586e-06,0.03514188900589943,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.699999988079071,0.0,0.0,0.0,0.0,0.7,0.0,0.18195799690127373,0.0,16.6,2022-01-08 08:00:00,13.32157035481511,0.0,3.904651293851202e-06,3.904651293851202e-06,0.03514186292886734,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.7200000286102295,0.0,0.0,0.0,0.0,0.72,0.0,0.20225405603685379,0.0,18.291,2022-01-08 09:00:00,13.321560032458015,0.0,3.904648110619746e-06,3.904648110619746e-06,0.03514183312654495,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.8199999928474426,0.0,0.0,0.0,0.0,0.82,0.0,0.22945010199859137,0.0,18.203,2022-01-08 10:00:00,13.321549710108918,0.0,3.904645382135641e-06,3.904645382135641e-06,0.03514180704951286,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.9599999785423279,0.0,0.0,0.0,0.0,0.96,0.0,0.2674222020226478,0.0,18.102,2022-01-08 11:00:00,13.321539387767821,0.0,3.904642198904185e-06,3.904642198904185e-06,0.035141780972480774,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.2699999809265137,0.0,0.0,0.0,0.0,1.27,0.0,0.3364859869464874,0.0,17.003999999999998,2022-01-08 12:00:00,13.32152906543472,0.0,3.904639470420079e-06,3.904639470420079e-06,0.035141754895448685,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.569999933242798,0.0,0.0,0.0,0.0,2.57,0.0,0.6441447832679748,0.0,15.85,2022-01-08 13:00:00,13.32151874310962,0.0,3.904636287188623e-06,3.904636287188623e-06,0.0351417250931263,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.4000000953674316,0.0,0.0,0.0,0.0,2.4,0.0,0.6023990639371871,0.0,15.879,2022-01-08 14:00:00,13.321508420792517,0.0,3.904633103957167e-06,3.904633103957167e-06,0.03514169901609421,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.7200000286102295,0.0,0.0,0.0,0.0,1.72,0.0,0.4259181030846595,0.0,15.607,2022-01-08 15:00:00,13.321498098483412,0.0,3.904629920725711e-06,3.904629920725711e-06,0.03514166921377182,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,3.8399999141693115,0.0,0.0,0.0,0.0,3.84,0.0,0.951410666734314,0.0,15.618,2022-01-08 16:00:00,13.321487776182305,0.0,3.904627192241605e-06,3.904627192241605e-06,0.03514164313673973,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,5.289999961853027,0.0,0.0,0.0,0.0,5.29,0.0,1.426772237711334,0.0,17.387999999999998,2022-01-08 17:00:00,13.321477453889198,0.0,3.9046244637575e-06,3.9046244637575e-06,0.03514162078499794,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.940000057220459,0.0,0.0,0.0,0.0,2.94,0.0,0.8259800800758361,0.0,18.294,2022-01-08 18:00:00,13.321467131604088,0.0,3.904620825778693e-06,3.904620825778693e-06,0.035141587257385254,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.309999942779541,0.0,0.0,0.0,0.0,1.31,0.0,0.3793445434303283,0.0,18.990000000000002,2022-01-08 19:00:00,13.321456809326977,0.0,3.904618097294588e-06,3.904618097294588e-06,0.035141561180353165,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,2.130000114440918,0.0,0.0,0.0,0.0,2.13,0.0,0.5984141601516724,0.0,18.294,2022-01-08 20:00:00,13.321446487057864,0.0,3.904615368810482e-06,3.904615368810482e-06,0.035141538828611374,0.0,3.956950422434602e-06,3.956950422434602e-06
